model,split,accuracy,macro_f1,weighted_f1,mean_confidence,max_length
Fine-tuned DistilBERT max_len=128,test,0.8322222222222222,0.8319331228350713,0.8319331228350714,0.8884412050247192,128
Fine-tuned DistilBERT max_len=256,test,0.86,0.8603605870029929,0.860360587002993,0.9013570547103882,256
