model,split,accuracy,macro_f1,weighted_f1,mean_confidence
Fine-tuned DistilBERT,test,0.8511111111111112,0.8506991518481556,0.8506991518481554,0.8944731950759888
TF-IDF + Logistic Regression,test,0.8477777777777777,0.8478834670285418,0.8478834670285419,0.76071154094813
Frozen DistilBERT emb + LR,test,0.7244444444444444,0.7257237569401206,0.7257237569401207,0.9317694284970927
