model,split,accuracy,macro_f1,weighted_f1,mean_confidence
TF-IDF + LR,original,0.8477777777777777,0.8478834670285418,0.8478834670285419,0.76071154094813
TF-IDF + LR,product_cue_masked,0.7811111111111111,0.7801068775454865,0.7801068775454865,0.6156751298561016
TF-IDF + LR,top_tfidf_feature_masked,0.6711111111111111,0.6643188127134867,0.6643188127134867,0.44778225679992917
Frozen DistilBERT + LR,original,0.7244444444444444,0.7257237569401206,0.7257237569401207,0.9317694284970927
Frozen DistilBERT + LR,product_cue_masked,0.5733333333333334,0.576189421973754,0.5761894219737539,0.8823599354578826
Frozen DistilBERT + LR,top_tfidf_feature_masked,0.3244444444444444,0.25655730830188495,0.2565573083018849,0.8952094489514972
Fine-tuned DistilBERT,original,0.8511111111111112,0.8506991518481556,0.8506991518481554,0.8944731950759888
Fine-tuned DistilBERT,product_cue_masked,0.7188888888888889,0.7186314602987104,0.7186314602987104,0.7877748012542725
Fine-tuned DistilBERT,top_tfidf_feature_masked,0.4711111111111111,0.46266978441876294,0.4626697844187629,0.6110183596611023
