model,ece,mean_confidence,accuracy,macro_f1
Fine-tuned DistilBERT,0.043362063169479395,0.8944731950759888,0.8511111111111112,0.8506991518481556
TF-IDF + LR,0.08706623682964787,0.76071154094813,0.8477777777777777,0.8478834670285418
Frozen DistilBERT + LR,0.20732498405264815,0.9317694284970927,0.7244444444444444,0.7257237569401206
